# Log de vuelo QAV250 Gemelo Digital
# Generado: 2026-06-05T13:26:31.656928
#
# Columnas:
#   t      = tiempo relativo al primer mensaje [s]
#   X      = posicion longitudinal (Pitch) [m]
#   Y      = posicion lateral (Roll) [m]
#   Z      = altura [m]
#   Roll   = angulo de alabeo [grados]
#   Pitch  = angulo de cabeceo [grados]
#   Yaw    = angulo de guinada [grados]
#   w1..w4 = velocidad angular de cada motor [rad/s]
#   pwm1..4= PWM de cada motor [us]
#
         t |        X        Y        Z |     Roll    Pitch      Yaw |      w1      w2      w3      w4 |  pwm1  pwm2  pwm3  pwm4
------------------------------------------------------------------------------------------------------------------------
     0.000 |    0.000    0.000    0.000 |    -0.65     1.82     0.04 |     0.0     0.0     0.0     0.0 |     0     0     0     0
     0.050 |    0.000    0.000    0.000 |    -0.64     1.82     0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     0.100 |    0.000    0.000    0.000 |    -0.64     1.82     0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     0.150 |    0.000    0.000    0.000 |    -0.64     1.82     0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     0.200 |    0.000    0.000    0.000 |    -0.64     1.82     0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     0.250 |    0.000    0.000    0.000 |    -0.64     1.82     0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     0.300 |    0.000    0.000    0.000 |    -0.64     1.82     0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     0.350 |    0.000    0.000    0.000 |    -0.65     1.82     0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     0.400 |    0.000    0.000    0.000 |    -0.65     1.82     0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     0.450 |    0.000    0.000    0.000 |    -0.65     1.82     0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     0.500 |    0.000    0.000    0.000 |    -0.65     1.82     0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     0.550 |    0.000    0.000    0.000 |    -0.65     1.82     0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     0.600 |    0.000    0.000    0.000 |    -0.64     1.82     0.01 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
